region,lat,lon,temperature,dayNight,precip,traffic,severity,cnt
"37.01,-111.55",37.01,-111.55,80+,Day,True,False,0,0
"37.01,-111.55",37.01,-111.55,80+,Day,False,True,0,0
"37.01,-111.55",37.01,-111.55,80+,Day,False,False,0,0
"37.01,-111.55",37.01,-111.55,80+,Night,True,True,0,0
"37.01,-111.55",37.01,-111.55,80+,Night,True,False,0,0
"37.01,-111.55",37.01,-111.55,80+,Night,False,True,0,0
"37.01,-111.55",37.01,-111.55,80+,Night,False,False,0,0
"37.01,-111.55",37.01,-111.55,<= 32,Night,True,False,0,0
"37.01,-111.55",37.01,-111.55,< 80,Day,False,True,0,0
"37.01,-111.55",37.01,-111.55,<= 32,Night,False,False,0,0
"37.01,-111.55",37.01,-111.55,<= 32,Day,False,True,0,0
"37.01,-111.55",37.01,-111.55,< 80,Day,True,True,0,0
"37.01,-111.55",37.01,-111.55,< 80,Night,False,False,2,1
"37.01,-111.55",37.01,-111.55,<= 32,Day,False,False,0,0
"37.01,-111.55",37.01,-111.55,<= 32,Day,True,False,0,0
"37.01,-111.55",37.01,-111.55,<= 32,Day,True,True,0,0
"37.01,-112.55",37.01,-112.55,<= 32,Night,True,True,0,0
"37.01,-112.55",37.01,-112.55,<= 32,Day,False,False,0,0
"37.01,-112.55",37.01,-112.55,<= 32,Day,False,True,0,0
"37.01,-112.55",37.01,-112.55,<= 32,Day,True,False,0,0
"37.01,-112.55",37.01,-112.55,<= 32,Day,True,True,0,0
"37.01,-112.55",37.01,-112.55,< 80,Day,False,False,6,3
"37.01,-112.55",37.01,-112.55,< 80,Night,True,False,0,0
"37.01,-112.55",37.01,-112.55,80+,Night,False,False,0,0
"37.01,-112.55",37.01,-112.55,<= 32,Night,True,False,0,0
"37.01,-112.55",37.01,-112.55,80+,Day,True,True,0,0
"37.01,-112.55",37.01,-112.55,80+,Day,True,False,0,0
"37.01,-112.55",37.01,-112.55,80+,Day,False,True,0,0
"37.01,-112.55",37.01,-112.55,80+,Day,False,False,0,0
"37.01,-112.55",37.01,-112.55,80+,Night,True,True,0,0
"37.01,-112.55",37.01,-112.55,80+,Night,True,False,0,0
"37.01,-112.55",37.01,-112.55,80+,Night,False,True,0,0
"37.01,-112.55",37.01,-112.55,< 80,Night,False,False,0,0
"37.01,-112.55",37.01,-112.55,< 80,Night,False,True,0,0
"37.01,-112.55",37.01,-112.55,<= 32,Night,False,True,0,0
"37.01,-112.55",37.01,-112.55,< 80,Day,True,True,0,0
"37.01,-112.55",37.01,-112.55,< 80,Day,True,False,0,0
"37.01,-112.55",37.01,-112.55,< 80,Day,False,True,0,0
"37.01,-112.55",37.01,-112.55,< 80,Night,True,True,0,0
"37.01,-112.55",37.01,-112.55,<= 32,Night,False,False,0,0
"37.01,-113.01",37.01,-113.01,80+,Night,True,False,0,0
"37.01,-113.01",37.01,-113.01,80+,Night,True,True,0,0
"37.01,-113.01",37.01,-113.01,80+,Day,False,True,0,0
"37.01,-113.01",37.01,-113.01,<= 32,Day,True,True,0,0
"37.01,-113.01",37.01,-113.01,<= 32,Day,True,False,0,0
"37.01,-113.01",37.01,-113.01,<= 32,Day,False,True,0,0
"37.01,-113.01",37.01,-113.01,<= 32,Day,False,False,0,0
"37.01,-113.01",37.01,-113.01,<= 32,Night,True,True,0,0
"37.01,-113.01",37.01,-113.01,<= 32,Night,False,False,0,0
"37.01,-113.01",37.01,-113.01,<= 32,Night,False,True,0,0
"37.01,-113.01",37.01,-113.01,< 80,Day,True,True,0,0
"37.01,-113.01",37.01,-113.01,< 80,Day,True,False,0,0
"37.01,-113.01",37.01,-113.01,< 80,Night,True,True,0,0
"37.01,-113.01",37.01,-113.01,< 80,Day,False,False,6,3
"37.01,-113.01",37.01,-113.01,< 80,Night,False,True,0,0
"37.01,-113.01",37.01,-113.01,80+,Day,True,True,0,0
"37.01,-113.01",37.01,-113.01,80+,Day,True,False,0,0
"37.01,-113.01",37.01,-113.01,<= 32,Night,True,False,0,0
"37.01,-113.01",37.01,-113.01,< 80,Night,True,False,0,0
"37.01,-113.01",37.01,-113.01,80+,Night,False,False,0,0
